model,accuracy,precision_macro,recall_macro,f1_macro,roc_auc_ovr_macro,roc_auc,average_precision
qlstm,0.728125,0.8056184400164756,0.728125,0.7497373203326232,0.9525731646825397,,
lstm,0.7458333333333333,0.8039523005641476,0.7458333333333333,0.7674930596036783,0.9521906001984126,,
transformer,0.8541666666666666,0.9187579410461288,0.8541666666666667,0.8685713635646488,0.9890364583333333,,
autoencoder,0.22395833333333334,0.5434419381787803,0.5386904761904762,0.22376882376882376,,0.7320337301587302,0.9359945442526725
