label,recon_error
synchronization_jitter_attack,1.1111798
combined_attack,0.9430038
wavelength_switching_attack,0.8174236
detector_blinding_attack,0.7816755
phase_drift_attack,0.7784826
reference_light_tamper,0.7355697
asymmetric_loss_attack,0.34539062
normal,0.3172301
