model,accuracy,precision_macro,recall_macro,f1_macro,roc_auc_ovr_macro,roc_auc,average_precision
qlstm,0.8697916666666666,0.8689579177015911,0.8697916666666666,0.8693293607653958,0.9820709325396826,,
lstm,0.865625,0.8668938180563044,0.865625,0.8632974522274691,0.9820696924603175,,
transformer,0.9052083333333333,0.9060559015352156,0.9052083333333334,0.9046235960275522,0.9899900793650793,,
autoencoder,0.2791666666666667,0.5525,0.5666666666666667,0.27791304347826085,,0.8322519841269841,0.9605140312005649
