model,accuracy,precision_macro,recall_macro,f1_macro,roc_auc_ovr_macro,roc_auc,average_precision
qlstm,0.46875,0.5823788676519067,0.7638888888888888,0.6202999380449092,0.9594640709688347,,
lstm,0.4738636363636364,0.6110618324366245,0.7722222222222221,0.6421134342960398,0.9472242935580398,,
transformer,0.48863636363636365,0.6248498333283682,0.7962962962962963,0.6572293075752814,0.955816843806459,,
autoencoder,0.47102272727272726,0.5538829591461171,0.7045731707317073,0.4027646410249401,,0.874329268292683,0.9884022352830119
