model,task,accuracy,precision_macro,recall_macro,f1_macro,roc_auc_ovr_macro,threshold,roc_auc,average_precision
qlstm,multiclass,0.8427083333333333,0.8370217519732441,0.8427083333333334,0.8311278379468954,0.9786631944444445,,,
lstm,multiclass,0.85625,0.8567905208068223,0.85625,0.8559996237491201,0.9798586309523809,,,
transformer,multiclass,0.9385416666666667,0.9389302645909411,0.9385416666666667,0.9384189541237118,0.9944295634920635,,,
autoencoder,one_class,0.30625,0.5575143785946487,0.5821428571428571,0.30295537501471803,,1.146072268486023,0.7601190476190476,0.946976042286439
