model,accuracy,precision_macro,recall_macro,f1_macro,roc_auc_ovr_macro,roc_auc,average_precision
qlstm,0.725,0.7562580520195459,0.725,0.7118573531478287,0.956047867063492,,
lstm,0.7729166666666667,0.7907232984449148,0.7729166666666667,0.7679806744324968,0.9491214037698412,,
transformer,0.9270833333333334,0.9318912736622134,0.9270833333333333,0.926209987082556,0.9882068452380952,,
autoencoder,0.29270833333333335,0.5489209256012295,0.5672619047619047,0.2902060323340422,,0.7398015873015873,0.9416487104539184
