model,task,accuracy,precision_macro,recall_macro,f1_macro,roc_auc_ovr_macro,threshold,roc_auc,average_precision
qlstm,multiclass,0.8739583333333333,0.8723342990457403,0.8739583333333334,0.8724276115420776,0.982186259920635,,,
lstm,multiclass,0.8760416666666667,0.8748757088508641,0.8760416666666667,0.8743186197155297,0.9810292658730159,,,
transformer,multiclass,0.9989583333333333,0.9989669421487604,0.9989583333333334,0.9989583152485286,1.0,,,
autoencoder,one_class,0.24791666666666667,0.5578793023614755,0.5595238095238095,0.24790360943766385,,1.3772659301757812,0.8547718253968254,0.9695047376781397
